ID,age,body.height,a.vtl,e.vtl,i.vtl,o.vtl,u.vtl,mean
M01,29,169,16.3,15.5,16,17.2,16.7,16.3
M02,29,175,16.2,15.3,15.8,17.3,17.2,16.4
M03,30,171,16.5,15.8,16.5,17.3,17,16.6
M04,34,178,17.3,16.2,17.3,18.5,17.9,17.4
M05,36,176,17.7,16.9,17.6,18.4,18.8,17.9
M06,38,177,16.9,16.3,16.8,17.3,17,16.9
M07,38,175,16.8,16.1,16.3,18.4,17.2,17
M08,47,175,17.1,16.4,16.8,17.3,17,16.9
M09,52,165,16.7,16,16.2,17.5,17,16.7
M10,55,168,18.3,17.5,18,19.3,18.7,18.4
M11,24,175,15.8,15.6,16.1,16.8,16.8,16.2
M12,40,162,16.8,16.3,16.6,17.8,16.8,16.9
M13,27,184,17,16.6,16.9,18,18,17.3
M14,44,169,16.8,16.4,16.3,17.4,17.9,17
M15,35,175,16.1,15.5,15.8,17.7,17.4,16.5
M16,30,170,16.4,15.6,17,17.3,16.8,16.4
M17,30,176,16.3,15.4,15.9,17.4,17.3,16.5
M18,31,172,16.6,15.9,16.6,17.4,18,16.7
M19,35,179,17.4,16.3,17.4,18.6,17.10,17.5
M20,37,177,17.8,16.10,17.7,18.5,18.9,17.10
M21,39,178,16.10,16.4,16.9,17.4,18,16.10
M22,39,176,16.9,16.2,16.4,18.5,17.3,18
M23,48,176,17.2,16.5,16.9,17.4,18,16.10
M24,53,166,16.8,17,16.3,17.6,18,16.8
M25,56,169,18.4,17.6,19,19.4,18.8,18.5
M26,25,176,15.9,15.7,16.2,16.9,16.9,16.3
M27,41,163,16.9,16.4,16.7,17.9,16.9,16.10
M28,28,185,18,16.7,16.10,19,19,17.4
M29,45,170,16.9,16.5,16.4,17.5,17.10,18
M30,36,176,16.2,15.6,15.9,17.8,17.5,16.6
M31,31,171,16.5,15.7,18,17.4,16.9,16.5
M32,31,177,16.4,15.5,15.10,17.5,17.4,16.6
M33,32,173,16.7,15.10,16.7,17.5,19,16.8
M34,36,180,17.5,16.4,17.5,18.7,17.11,17.6
